time,lastnum,result,maximumRoll,maximum,minimum
150,1675,end,7,2045,1385
3,2080,win,2,2080,1930
5,2060,win,4,2060,1930
150,1625,end,62,2050,1455
14,2060,win,13,2060,1890
150,1270,end,1,2020,970
21,2090,win,20,2090,1790
7,2160,win,6,2160,1900
21,2080,win,20,2080,1880
16,2120,win,15,2120,1860
89,2080,win,88,2080,1450
40,2110,win,39,2110,1765
14,2060,win,13,2060,1880
84,2060,win,83,2060,1720
18,2055,win,17,2055,1900
44,2090,win,43,2090,1730
15,2125,win,14,2125,1880
150,1570,end,0,1930,1255
4,2055,win,3,2055,1940
time,lastnum,result,maximumRoll,maximum,minimum
65,2205,win,64,2205,1630
150,1565,end,0,1930,1350
150,1970,end,21,2140,1495
150,2090,end,147,2170,1570
150,1485,end,7,1995,1175
150,1515,end,5,2105,1400
29,2205,win,28,2205,1900
75,2295,win,74,2295,1670
39,2230,win,38,2230,1930
150,1395,end,0,2010,775
150,1690,end,9,2020,1360
62,2360,win,61,2360,1770
60,2245,win,59,2245,1730
16,2205,win,15,2205,1900
103,2285,win,102,2285,1740
49,2210,win,48,2210,1820
116,2310,win,115,2310,1550
48,2265,win,47,2265,1920
150,1090,end,13,2085,1090
25,2215,win,24,2215,1890
150,1670,end,0,2010,1440
117,2305,win,116,2305,1610
41,2260,win,40,2260,1680
150,1805,end,15,2170,1295
150,1415,end,0,1930,1385
150,1670,end,58,2185,1660
21,2250,win,20,2250,1880
30,2250,win,29,2250,1830
25,2290,win,24,2290,1870
29,2225,win,28,2225,1815
31,2230,win,30,2230,1790
150,1125,end,28,2200,1125
150,2100,end,149,2100,1475
21,2210,win,20,2210,1890
150,1215,end,85,2035,1215
18,2290,win,17,2290,1885
150,805,end,1,2020,745
102,2245,win,101,2245,1810
150,2030,end,145,2130,1500
150,1620,end,0,1990,1290
150,1150,end,0,1930,1150
40,2205,win,39,2205,1830
11,2240,win,10,2240,1890
41,2215,win,40,2215,1880
150,1010,end,0,2010,885
150,955,end,0,1930,955
150,2160,end,149,2160,1610
150,1705,end,106,2095,1575
18,2205,win,17,2205,1820
150,1650,end,0,2010,1340
150,1790,end,9,2100,1025
150,1825,end,52,1995,1350
19,2250,win,18,2250,1870
63,2245,win,62,2245,1840
94,2210,win,93,2210,1565
91,2205,win,90,2205,1645
80,2240,win,79,2240,1730
13,2230,win,12,2230,1890
70,2275,win,69,2275,1785
150,830,end,8,2130,830
37,2245,win,36,2245,1650
69,2225,win,68,2225,1655
61,2345,win,60,2345,1740
150,1595,end,4,2050,1210
150,980,end,5,2140,950
150,1510,end,44,2030,1300
42,2210,win,41,2210,1755
58,2285,win,57,2285,1690
125,2220,win,124,2220,1610
150,1815,end,90,2200,1525
30,2205,win,29,2205,1815
41,2205,win,40,2205,1900
150,1700,end,2,2025,1305
150,1495,end,15,2105,1495
17,2295,win,16,2295,1900
93,2265,win,92,2265,1630
150,1645,end,44,2030,1550
150,1540,end,63,2035,1335
52,2210,win,51,2210,1875
14,2240,win,13,2240,1900
65,2290,win,64,2290,1840
45,2220,win,44,2220,1900
56,2215,win,55,2215,1790
62,2205,win,61,2205,1700
52,2220,win,51,2220,1705
150,1125,end,5,2020,945
20,2240,win,19,2240,1930
150,1820,end,117,2165,1720
150,1890,end,50,2155,1490
150,1315,end,12,2100,1315
140,2270,win,139,2270,1585
80,2205,win,79,2205,1755
150,2020,end,148,2090,1555
150,1690,end,0,1930,1225
150,1110,end,0,2010,900
68,2210,win,67,2210,1890
150,1115,end,6,2080,1035
16,2210,win,15,2210,1890
150,1585,end,16,2125,1525
150,1340,end,85,2200,1340
